region,provincia,distrito,codigo_del_recurso,nombre_del_recurso,categoria,tipo_de_categoria,sub_tipo_categoria,url,latitud,longitud,fecha_de_corte
Lima,Lima,Lima,1379,Museo Naval Casa Grau ,2. Manifestaciones Culturales,Museos Y Otros,Casas Museo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1379,-77.03346332027246,-12.047517929156207,2025-10-13
Lima,Lima,Lima,1384,Palacio Legislativo,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Palacio,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1384,-77.02496078157998,-12.048338241932523,2025-10-13
Lima,Lima,Lima,1393,Museo Central - Mucen (Museo Del Banco Central De Reserva Del Perú),2. Manifestaciones Culturales,Museos Y Otros,Museos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1393,-77.03009879600665,-12.0482916828035,2025-10-13
Lima,Lima,Barranco,1396,Templo De San Francisco De Asís,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1396,-77.01992690563202,-12.144905052259352,2025-10-13
Huanuco,Leoncio Prado,Mariano Damaso Beraun,1409,Parque Nacional Tingo María ,1. Sitios Naturales,N. Areas Protegidas,Parques Nacionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1409,-76.02937,-9.32607,2025-10-13
Moquegua,Mariscal Nieto,San Cristobal,1421,Aguas Termales De Putina,1. Sitios Naturales,K. Agua Termo-Mineral,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1421,-70.695175,-16.734737,2025-10-13
Ancash,Corongo,Corongo,1433,Fiesta Patronal El Agua Y San Pedro,5. Acontecimientos Programados,Fiestas,Fiestas Religiosas-Patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1433,-77.8968,-8.56854,2025-10-13
Ancash,Huaraz,Independencia,1438,Quebrada Cojup,1. Sitios Naturales,D. Quebradas,Quebradas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1438,-77.40606295395683,-9.436572688787798,2025-10-13
Ancash,Huaraz,Independencia,1441,Quebrada Llaca,1. Sitios Naturales,D. Quebradas,Quebradas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1441,-77.45220739853951,-9.444795614989076,2025-10-13
Ancash,Huari,Cajay,1443,Laguna Reparin,1. Sitios Naturales,G. Cuerpo De Agua,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1443,-77.15344729999998,-9.2989533,2025-10-13
